WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
# JMH version: 1.19
# VM version: JDK 11.0.5, VM 11.0.5+10-b520.30
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\lib\idea_rt.jar=53013:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\bin -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: simple.Main.measureName
# Parameters: (count = 4, maxQueries = 1000)

# Run progress: 0,00% complete, ETA 00:10:24
# Fork: 1 of 1
# Warmup Iteration   1: 
Count of Edges = 4 , Packets = 1000, nanotimes = 11924


Count of Edges = 4 , Packets = 1000, nanotimes = 9076


Count of Edges = 4 , Packets = 1000, nanotimes = 10935


Count of Edges = 4 , Packets = 1000, nanotimes = 9694


Count of Edges = 4 , Packets = 1000, nanotimes = 8236


Count of Edges = 4 , Packets = 1000, nanotimes = 9765


Count of Edges = 4 , Packets = 1000, nanotimes = 9330


Count of Edges = 4 , Packets = 1000, nanotimes = 9464


Count of Edges = 4 , Packets = 1000, nanotimes = 12497


Count of Edges = 4 , Packets = 1000, nanotimes = 9103


Count of Edges = 4 , Packets = 1000, nanotimes = 8907


Count of Edges = 4 , Packets = 1000, nanotimes = 9062


Count of Edges = 4 , Packets = 1000, nanotimes = 10495


Count of Edges = 4 , Packets = 1000, nanotimes = 8749


Count of Edges = 4 , Packets = 1000, nanotimes = 9743


Count of Edges = 4 , Packets = 1000, nanotimes = 10795


Count of Edges = 4 , Packets = 1000, nanotimes = 10353


Count of Edges = 4 , Packets = 1000, nanotimes = 9263


Count of Edges = 4 , Packets = 1000, nanotimes = 9909


